"Reference","Value",,"Footprint","Datasheet","Qty","DNP"
"U1","74HC00",ロジックIC,"Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74hc00","1",
"U2","628128",SRAMメモリーIC (1M bit),"Package_DIP:DIP-32_W15.24mm_Socket_LongPads","http://www.futurlec.com/Datasheet/Memory/628128.pdf","1",
"U3","28C256",フラッシュタイプROM,"Package_DIP:DIP-28_W15.24mm_Socket_LongPads","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0006.pdf","1",
"C1,C3,C4","0.1u",積層セラミックコンデンサ,"Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","3",
"C2","10u",電解コンデンサ,"Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","1",
"R1","10k",カーボン抵抗,"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1",
"JP1","RAM SIZE",ソルダジャンパ,"Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm","~","1",
"J1","SBC8080 BUS",,"Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Horizontal",,"1",
"J2","MSX SLOT",5P XHコネクタ or L型ピンヘッダ,"Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","~","1",
"MH1,MH2,MH3,MH4","MountingHole",※基板穴です。部品ではありません。,"MountingHole:MountingHole_3.2mm_M3","~","4",
